DB Class Key,Mouse_symbol,Human_symbol
41933335,Gdnf,GDNF
41933336,Mid1ip1,MID1IP1
41933337,Shh,SHH
41933338,Or10j3b,OR10J3
41933339,Or4e5,OR4E1
41933340,Or4e1,OR4E1
41933341,Or5k1,OR5K1
41933341,Or5k1,OR5K2
41933342,Or4e2,OR4E2
41933343,Or5k17,OR5K4
41933344,Or5k1b,OR5K1
41933344,Or5k1b,OR5K2
41933345,Or12d17,OR12D3
41933346,Or12d16-ps1,OR12D1
41933346,Or12d16-ps1,OR12D2
41933347,Or4a72,OR4A16
41933348,Or10k2,OR10K2
41933349,Or12d15,OR12D1
41933349,Or12d15,OR12D2
41933350,Or4a68,OR4A16
41933351,Or12d14-ps1,OR12D1
41933351,Or12d14-ps1,OR12D2
41933352,Mapk8,MAPK8
41933353,Arnt2,ARNT2
41933354,Hoxc13,HOXC13
41933355,Raf1,RAF1
41933356,Zic1,ZIC1
41933357,Ntrk1,NTRK1
41933358,Tap2,TAP2
41933359,Bco1,BCO1
41933360,Nodal,NODAL
41933361,Foxg1,FOXG1
41933362,Zfp703,ZNF703
41933363,Notch2,NOTCH2
41933364,Zp1,ZP1
41933365,Cldn9,CLDN9
41933366,Cldn6,CLDN6
41933367,Cldn3,CLDN3
41933368,Cyp19a1,CYP19A1
41933369,Fn1,FN1
41933370,Nkx2-3,NKX2-3
41933371,Pou5f2,POU5F2
41933372,Pou5f1,POU5F1
41933372,Pou5f1,POU5F1B
41933373,Chrna1,CHRNA1
41933374,Dmrt2,DMRT2
41933375,Hoxa11,HOXA11
41933376,Pax7,PAX7
41933377,Pou3f3,POU3F3
41933378,Ikzf1,IKZF1
41933379,Foxa2,FOXA2
41933380,Pparg,PPARG
41933381,Or7c70,OR7C1
41933381,Or7c70,OR7C2
41933382,Hoxd10,HOXD10
41933383,Vipr2,VIPR2
41933384,Lcp1,LCP1
41933385,Tle3,TLE3
41933386,Hoxb4,HOXB4
41933387,Foxc1,FOXC1
41933388,Nkx2-2,NKX2-2
41933389,Igfbp2,IGFBP2
41933390,Ntn1,NTN1
41933391,Msx3,
41933392,Gata2,GATA2
41933393,Hoxb6,HOXB6
41933394,Or6c8b,OR2AP1
41933395,Or6c5b,
41933396,Or6c75,OR6C75
41933397,Or6c65,OR6C65
41933398,Or6c206,
41933399,Or6c63-ps1,
41933400,Or1j19,OR1J2
41933401,Or13a1,OR13A1
41933402,Or6c1,OR6C1
41933403,Or6c2,OR6C2
41933404,Or6c70,OR6C70
41933405,Or1j20,
41933406,Or6c209,OR6C68
41933407,Or6c200-ps1,
41933408,Or6c202,
41933409,Or6c6c,OR6C6
41933410,Or6c7,
41933411,Or6c35,OR6C68
41933412,Or6c76,OR6C76
41933413,Or6c210,
41933414,Or1aa2,
41933415,Or12d2,OR12D1
41933415,Or12d2,OR12D2
41933416,Or6c69b,OR6C70
41933417,Or6c66,OR6C76
41933418,Or12j3,
41933419,Or12d12,OR12D1
41933419,Or12d12,OR12D2
41933420,Or6c88,
41933421,Or1af1,
41933422,Or6c5,
41933423,Or4a80,OR4A16
41933423,Or4a80,OR4A5
41933423,Or4a80,OR4A8
41933424,Or6c213,
41933425,Or1j1,OR1J1
41933426,Or6n2,OR6N2
41933427,Or6c205,
41933428,Or6c1b,OR6C1
41933429,Or6c69c,OR6C65
41933430,Or6c208,
41933431,Or6c216,
41933432,Or12d13,OR12D1
41933432,Or12d13,OR12D2
41933433,Or6c203,
41933434,Or1r1,OR1R1P
41933435,Or1l8,OR1L8
41933436,Or6c3,OR6C3
41933437,Or6c66b,OR6C76
41933438,Or6c33,
41933439,Or6c76b,OR6C76
41933440,Or6c6,OR6C6
41933441,Or6c212,
41933442,Or6c5c,
41933443,Or6c74,OR6C74
41933444,Or6c2b,OR6C2
41933445,Or6c3b,OR6C3
41933446,Or6c211,
41933447,Or6c204,
41933448,Or6c219,
41933449,Or6c68,OR6C68
41933450,Or6c217,OR6C70
41933451,Or6c69,
41933452,Or6c207,
41933453,Or6c215,
41933454,Or6c8,OR2AP1
41933455,Or6c38,
41933456,Or1j21,
41933457,Slc40a1,SLC40A1
41933458,Gata3,GATA3
41933459,Etv4,ETV4
41933460,Hmx3,HMX3
41933461,Gm5771,PRSS1
41933461,Gm5771,PRSS2
41933461,Gm5771,PRSS3P2
41933462,1810009J06Rik,
41933463,2210010C04Rik,
41933464,Try10,PRSS1
41933464,Try10,PRSS2
41933464,Try10,PRSS3P2
41933465,Prss2,PRSS2
41933466,Prss1,PRSS1
41933466,Prss1,PRSS2
41933466,Prss1,PRSS3P2
41933467,Prss3,PRSS1
41933467,Prss3,PRSS2
41933467,Prss3,PRSS3P2
41933468,Gm10334,PRSS1
41933468,Gm10334,PRSS2
41933468,Gm10334,PRSS3P2
41933469,Try5,PRSS1
41933469,Try5,PRSS2
41933469,Try5,PRSS3
41933469,Try5,PRSS3P2
41933469,Try5,PRSS1
41933469,Try5,PRSS2
41933469,Try5,PRSS3
41933469,Try5,PRSS3P2
41933470,Try4,PRSS1
41933470,Try4,PRSS2
41933470,Try4,PRSS3
41933470,Try4,PRSS3P2
41933471,Gm2663,
41933472,Rack1,RACK1
41933473,Or2at1,
41933474,Fthl17a,FTH1P19
41933474,Fthl17a,FTHL17
41933475,Fthl17c,FTH1P19
41933475,Fthl17c,FTHL17
41933476,Fthl17f,FTH1P19
41933476,Fthl17f,FTHL17
41933477,Fthl17e,FTH1P19
41933477,Fthl17e,FTHL17
41933478,Fthl17b,FTH1P19
41933478,Fthl17b,FTHL17
41933479,Ftmt,FTMT
41933480,Fthl17d,FTH1P19
41933480,Fthl17d,FTHL17
41933481,Fth1,FTH1
41933482,Slc6a3,SLC6A3
41933483,Hes1,HES1
41933484,Cd74,CD74
41933485,Tcp1,TCP1
41933486,Smad3,SMAD3
41933487,Egr2,EGR2
41933488,Myo7a,MYO7A
41933489,Apaf1,APAF1
41933490,Bmp4,BMP4
41933491,Lrrk2,LRRK2
41933492,Otx2,OTX2
41933493,Etv6,ETV6
41933494,Jag2,JAG2
41933495,Cebpd,CEBPD
41933496,Gria2,GRIA2
41933497,Slit2,SLIT2
41933498,Mkrn2,MKRN2
41933499,Spns1,SPNS1
41933500,Tnnt2,TNNT2
41933501,Phc2,PHC2
41933502,Krt74,KRT74
41933503,Krt77,KRT77
41933504,Gm5478,KRT6A
41933504,Gm5478,KRT6B
41933504,Gm5478,KRT6C
41933505,Gm5414,KRT6A
41933505,Gm5414,KRT6B
41933505,Gm5414,KRT6C
41933506,Krt76,KRT76
41933507,Krt71,KRT71
41933508,Krt4,KRT4
41933509,Krt8,KRT8
41933510,Krt6b,KRT6A
41933510,Krt6b,KRT6B
41933510,Krt6b,KRT6C
41933511,Krt72,KRT72
41933512,Krt79,KRT79
41933513,Krt90,KRT90P
41933514,Krt75,KRT75
41933515,Krt2,KRT2
41933516,Krt73,KRT73
41933517,Krt7,KRT7
41933518,Krt6a,KRT6A
41933518,Krt6a,KRT6B
41933518,Krt6a,KRT6C
41933519,Krt1,KRT1
41933520,Rbp2,RBP2
41933521,Il17rd,IL17RD
41933522,Glra3,GLRA3
41933523,Glra4,GLRA4
41933524,Sec61a1,SEC61A1
41933525,Lmnb1,LMNB1
41933526,Lmna,LMNA
41933527,Naca,NACA
41933528,Srrt,SRRT
41933529,Atp6v1e2,ATP6V1E2
41933530,Atp6v1e1,ATP6V1E1
41933531,Cct2,CCT2
41933532,Cct3,CCT3
41933533,Cct7,CCT7
41933534,Ddx19b,DDX19B
41933535,Ddx19a,DDX19A
41933536,Hdac1,HDAC1
41933537,Mcm3,MCM3
41933538,Rpl24,RPL24
41933539,Rps5,RPS5
41933540,Sf3b4,SF3B4
41933541,Stil,STIL
41933542,Aurkc,AURKC
41933543,Aurkb,AURKB
41933544,Terf2,TERF2
41933545,U2af1,U2AF1
41933546,Vps18,VPS18
41933547,Csnk1a1,CSNK1A1
41933548,Flot1,FLOT1
41933549,Insr,INSR
41933550,Ptk2b,PTK2B
41933551,Invs,INVS
41933552,Nek8,NEK8
41933553,Cygb,CYGB
41933554,Id3,ID3
41933555,Unc45b,UNC45B
41933556,Lyzl4,LYZL4
41933557,9530003J23Rik,LYZ
41933558,Lyzl1,LYZL1
41933558,Lyzl1,LYZL2
41933559,Lyzl6,LYZL6
41933560,Spaca5,SPACA5
41933560,Spaca5,SPACA5B
41933561,Spaca3,SPACA3
41933562,Lyz2,LYZ
41933563,Lyz1,LYZ
41933564,Tbx18,TBX18
41933565,Tbx15,TBX15
41933566,Cp,CP
41933567,Wnt2,WNT2
41933568,App,APP
41933569,Gdf1,GDF1
41933570,Gdf3,GDF3
41933571,Psmb8,PSMB8
41933572,Ldb2,LDB2
41933573,Map2k6,MAP2K6
41933574,Eif4e1b,EIF4E1B
41933575,Tbx2,TBX2
41933576,Pbx4,PBX4
41933577,Gli2,GLI2
41933578,Mmp21,MMP21
41933579,Hhex,HHEX
41933580,Tradd,TRADD
41933581,Adh5,ADH5
41933582,Zbtb22,ZBTB22
41933583,Rax,RAX
41933584,Krt5,KRT5
41933585,Tbx5,TBX5
41933586,Or4c118,OR4C15
41933587,Or4c109,OR4C15
41933588,Or2at4,OR2AT4
41933589,Or4c114,OR4C15
41933590,Or4c112,OR4C15
41933591,Or4c122,OR4C15
41933592,Or4a76,OR4A16
41933593,Or4c113,OR4C15
41933594,Or4c110,OR4C15
41933595,Or4d1,OR4D1
41933596,Fli1,FLI1
41933597,Oprm1,OPRM1
41933598,Psmb9,PSMB9
41933599,Slc39a7,SLC39A7
41933600,Tnnc2,TNNC2
41933601,Pax2,PAX2
41933602,Pou3f2,POU3F2
41933603,Pax9,PAX9
41933604,Ncam1,NCAM1
41933605,Evx1,EVX1
41933606,Hoxa1,HOXA1
41933607,Ppt2,PPT2
41933608,Ugdh,UGDH
41933609,Klf3,KLF3
41933610,Hsf2,HSF2
41933611,Ckm,CKM
41933612,Klf1,KLF1
41933613,Notch3,NOTCH3
41933614,Fgf8,FGF8
41933615,Guca1b,GUCA1B
41933616,Cxcr4,CXCR4
41933617,Meis2,MEIS2
41933618,Vegfa,VEGFA
41933619,Elavl3,ELAVL3
41933620,Hoxc4,HOXC4
41933621,Hoxb2,HOXB2
41933622,Fabp2,FABP2
41933623,Pitx2,PITX2
41933624,Nup93,NUP93
41933625,Ephb3,EPHB3
41933626,H2-Eb2,HLA-DRB1
41933626,H2-Eb2,HLA-DRB3
41933626,H2-Eb2,HLA-DRB4
41933626,H2-Eb2,HLA-DRB5
41933627,H2-Eb1,HLA-DRB1
41933627,H2-Eb1,HLA-DRB3
41933627,H2-Eb1,HLA-DRB4
41933627,H2-Eb1,HLA-DRB5
41933628,H2-Ob,HLA-DOB
41933629,H2-Ab1,HLA-DQB1
41933629,H2-Ab1,HLA-DQB2
41933630,Foxa3,FOXA3
41933631,Spon2,SPON2
41933632,Nr1d2,NR1D2
41933633,Lhx5,LHX5
41933634,Mesp1,MESP1
41933635,Mesp2,MESP2
41933636,Dhh,DHH
41933637,Dlx5,DLX5
41933638,Wnt8b,WNT8B
41933639,Gsc,GSC
41933640,Igf1,IGF1
41933641,Mylpf,MYL11
41933642,Tyro3,TYRO3
41933643,Neurod6,NEUROD6
41933644,Nos1,NOS1
41933645,Hoxa13,HOXA13
41933646,Klf17,KLF17
41933647,Foxn4,FOXN4
41933648,Nme7,NME7
41933649,Mapk12,MAPK12
41933650,Snai1,SNAI1
41933651,Wnt4,WNT4
41933652,Hoxa4,HOXA4
41933653,En1,EN1
41933654,Acat2,ACAT2
41933655,Acat3,ACAT2
41933656,Opn1mw,OPN1LW
41933656,Opn1mw,OPN1MW
41933656,Opn1mw,OPN1MW2
41933656,Opn1mw,OPN1MW3
41933657,Gata1,GATA1
41933658,Apoa1,APOA1
41933659,Cxcl14,CXCL14
41933660,Cdk5,CDK5
41933661,Psmb5,PSMB5
41933662,Tnnt3,TNNT3
41933663,Dnmt1,DNMT1
41933664,Kit,KIT
41933665,Cfb,CFB
41933666,Inhbb,INHBB
41933667,Hoxb5,HOXB5
41933668,Gdf5,GDF5
41933669,Cpsf4,CPSF4
41933670,Gm13306,CCL27
41933671,Ccl27b,CCL27
41933672,Ccl27a,CCL27
41933673,Stat3,STAT3
41933674,Lhx3,LHX3
41933675,Tbx20,TBX20
41933676,Tek,TEK
41933677,Snap25,SNAP25
41933678,Cry1,CRY1
41933679,Alcam,ALCAM
41933680,Daxx,DAXX
41933681,Arx,ARX
41933682,Cpeb1,CPEB1
41933683,Neurog1,NEUROG1
41933684,Msx2,MSX2
41933685,Pax6,PAX6
41933686,Ddx3y,DDX3Y
41933687,D1Pas1,DDX3X
41933688,Ddx3x,DDX3X
41933689,Adar,ADAR
41933690,Or4b1,OR4B1
41933691,Or2a12,OR2A12
41933692,Pklr,PKLR
41933693,Gng3,GNG3
41933694,Bcl2l1,BCL2L1
41933695,Atp1a1,ATP1A1
41933696,Cldn11,CLDN11
41933697,Gch1,GCH1
41933698,mt-Nd4l,ND4L
41933699,Cacna1c,CACNA1C
41933700,1700009N14Rik,
41933701,Rasl2-9,
41933702,Ran,RAN
41933703,Ucp2,UCP2
41933704,Rho,RHO
41933705,Adgra2,ADGRA2
41933706,Myog,MYOG
41933707,Appl1,APPL1
41933708,Hesx1,HESX1
41933709,Nkx2-6,NKX2-6
41933710,Opn1sw,OPN1SW
41933711,Men1,MEN1
41933712,Mef2d,MEF2D
41933713,Hoxd12,HOXD12
41933714,Six3,SIX3
41933715,Des,DES
41933716,Isl2,ISL2
41933717,Ctbp2,CTBP2
41933718,Frat2,FRAT2
41933719,Frat1,FRAT1
41933720,Peg12,FRAT1
41933721,Gdf6,GDF6
41933722,Pax3,PAX3
41933723,Epb41l4a,EPB41L4A
41933724,Bax,BAX
41933725,Hoxd4,HOXD4
41933726,Pbrm1,PBRM1
41933727,Nr5a2,NR5A2
41933728,Twsg1,TWSG1
41933729,Ache,ACHE
41933730,Gucy2e,GUCY2D
41933731,mt-Nd3,ND3
41933732,Sox10,SOX10
41933733,Meis1,MEIS1
41933734,L1cam,L1CAM
41933735,Tpst1,TPST1
41933736,Ctbp1,CTBP1
41933737,T,TBXT
41933738,Arntl,BMAL1
41933739,Robo1,ROBO1
41933740,Cdh2,CDH2
41933741,Foxa1,FOXA1
41933742,Ppard,PPARD
41933743,Sox9,SOX9
41933744,Sox15,SOX15
41933745,Gart,GART
41933746,Hoxc9,HOXC9
41933747,Elavl1,ELAVL1
41933748,Bmp2,BMP2
41933749,Foxb1,FOXB1
41933750,Frzb,FRZB
41933751,Mef2c,MEF2C
41933752,Pitpnm3,PITPNM3
41933753,Hoxa2,HOXA2
41933754,Nme6,NME6
41933755,Casp8,CASP8
41933756,Glra1,GLRA1
41933757,Ucp1,UCP1
41933758,Ppara,PPARA
41933759,Crybb1,CRYBB1
41933760,Efna3,EFNA3
41933761,mt-Nd2,ND2
41933762,Ptprf,PTPRF
41933763,Pknox1,PKNOX1
41933764,Hoxb1,HOXB1
41933765,Dbx1,DBX1
41933766,Fzd9,FZD9
41933767,Tnc,TNC
41933768,Ctnna1,CTNNA1
41933769,Pax5,PAX5
41933770,Pcx,PC
41933771,Hoxd3,HOXD3
41933772,En2,EN2
41933773,Pou6f1,POU6F1
41933774,Psme3,PSME3
41933775,Ephb4,EPHB4
41933776,Smarcb1,SMARCB1
41933777,Hoxb3,HOXB3
41933778,Twist1,TWIST1
41933779,Sox21,SOX21
41933780,Alas1,ALAS1
41933781,Fzd10,FZD10
41933782,Fzd3,FZD3
41933783,Foxd2,FOXD2
41933784,Blcap,BLCAP
41933785,Gata5,GATA5
41933786,Otp,OTP
41933787,Nr2f1,NR2F1
41933788,Six5,SIX5
41933789,Psmb6,PSMB6
41933790,Efna5,EFNA5
41933791,Wnt5b,WNT5B
41933792,Tef,TEF
41933793,Itk,ITK
41933794,Otx1,OTX1
41933795,Fbln1,FBLN1
41933796,Id1,ID1
41933797,Efnb3,EFNB3
41933798,Jag1,JAG1
41933799,Psapl1,PSAPL1
41933800,Psap,PSAP
41933801,Ppm1a,PPM1A
41933802,Pbx3,PBX3
41933803,Calr3,CALR3
41933804,Nkx2-5,NKX2-5
41933805,Efna2,EFNA2
41933806,Jak2,JAK2
41933807,Hoxa9,HOXA9
41933808,Hoxd13,HOXD13
41933809,Cryge,CRYGD
41933810,Crygb,CRYGB
41933811,Crygc,CRYGC
41933812,Crygf,CRYGD
41933813,Trpc4ap,TRPC4AP
41933814,Smad5,SMAD5
41933815,Fgfr4,FGFR4
41933816,Runx3,RUNX3
41933817,Gsk3b,GSK3B
41933818,Hoxc12,HOXC12
41933819,Ppm1b,PPM1B
41933820,C3,C3
41933821,Fzd1,FZD1
41933822,Pbx1,PBX1
41933823,Nipsnap1,NIPSNAP1
41933824,Clns1a,CLNS1A
41933825,Dlx2,DLX2
41933826,Elavl4,ELAVL4
41933827,Bco2,BCO2
41933828,Rara,RARA
41933829,Wt1,WT1
41933830,Cldn1,CLDN1
41933831,Pou4f3,POU4F3
41933832,Vars,VARS1
41933833,Nras,NRAS
41933834,Fzd4,FZD4
41933835,Mpp7,MPP7
41933836,Smad2,SMAD2
41933837,Ccnd1,CCND1
41933838,Nccrp1,NCCRP1
41933839,Pdx1,PDX1
41933840,Csnk2a2,CSNK2A2
41933841,Hoxc10,HOXC10
41933842,Hoxc6,HOXC6
41933843,Copg2,COPG2
41933844,Hoxc5,HOXC5
41933845,Hoxa5,HOXA5
41933846,Cd81,CD81
41933847,Rrm2,RRM2
41933848,Wnt1,WNT1
41933849,Khdrbs1,KHDRBS1
41933850,Dlx3,DLX3
41933851,Ccne1,CCNE1
41933852,Ehmt2,EHMT2
41933853,Stat1,STAT1
41933854,Cldn13,CLDN4
41933855,Cldn4,CLDN4
41933856,Sry,SRY
41933857,Casp3,CASP3
41933858,Nanos3,NANOS3
41933859,Ptprs,PTPRS
41933860,Lactb,LACTB
41933861,Ddx4,DDX4
41933862,Ldb1,LDB1
41933863,Kifc1,KIFC1
41933864,Kifc5b,KIFC1
41933865,Htt,HTT
41933866,Tenm4,TENM4
41933867,Sema3a,SEMA3A
41933868,Coil,COIL
41933869,Ngf,NGF
41933870,Csnk2a1,CSNK2A1
41933870,Csnk2a1,CSNK2A3
41933871,Gja8,GJA8
41933872,Mdm2,MDM2
41933873,Hoxd9,HOXD9
41933874,Eya1,EYA1
41933875,Hsf1,HSF1
41933876,Fzd5,FZD5
41933877,Zic2,ZIC2
41933878,Hes7,HES7
41933879,Hoxc8,HOXC8
41933880,Csnk2b,CSNK2B
41933881,Rhebl1,RHEBL1
41933882,Rheb,RHEB
41933883,Cry2,CRY2
41933884,Fgf3,FGF3
41933885,Dlx1,DLX1
41933886,Fzd7,FZD7
41933887,Dhfr,DHFR
41933887,Dhfr,DHFR2
41933887,Dhfr,DHFRP1
41933888,Mmut,MMUT
41933889,F7,F7
41933890,Sfrp5,SFRP5
41933891,mt-Nd4,ND4
41933892,mt-Cytb,CYTB
41933893,Atp1b2,ATP1B2
41933894,Psma6,PSMA6
